"Journal Data Filtered By:  Selected JCR Year: 2001 Selected Editions: SCIE,SSCI Selected Categories: 'ECOLOGY','EVOLUTIONARY%20BIOLOGY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
31,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,5183,2.353,Not Available
32,PALEOBIOLOGY,1756,2.348,Not Available
33,DEVELOPMENT GENES AND EVOLUTION,912,2.344,Not Available
34,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,3028,2.308,Not Available
35,SYSTEMATIC BOTANY,1241,2.3,Not Available
36,JOURNAL OF ECOLOGY,6235,2.291,Not Available
37,FUNCTIONAL ECOLOGY,3237,2.144,Not Available
38,YEARBOOK OF PHYSICAL ANTHROPOLOGY,299,2.091,Not Available
39,ECOGRAPHY,1066,2.078,Not Available
40,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,3757,2.043,Not Available
41,ECOLOGY LETTERS,387,1.928,Not Available
42,MARINE ECOLOGY-PROGRESS SERIES,14740,1.903,Not Available
43,LANDSCAPE ECOLOGY,1268,1.863,Not Available
44,EVOLUTIONARY ECOLOGY RESEARCH,240,1.762,Not Available
45,JOURNAL OF VEGETATION SCIENCE,2161,1.73,Not Available
46,BIOLOGICAL CONSERVATION,4016,1.689,Not Available
47,GLOBAL ECOLOGY AND BIOGEOGRAPHY,425,1.595,Not Available
48,JOURNAL OF WILDLIFE MANAGEMENT,5330,1.593,Not Available
49,THEORETICAL POPULATION BIOLOGY,1860,1.58,Not Available
50,JOURNAL OF BIOGEOGRAPHY,2175,1.497,Not Available
51,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,1506,1.484,Not Available
52,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,6787,1.469,Not Available
53,JOURNAL OF CHEMICAL ECOLOGY,4557,1.429,Not Available
54,NEW ZEALAND JOURNAL OF ECOLOGY,558,1.404,Not Available
55,PLANT SYSTEMATICS AND EVOLUTION,1963,1.36,Not Available
56,AUSTRALIAN JOURNAL OF ECOLOGY,1413,1.323,Not Available
57,BIODIVERSITY AND CONSERVATION,1188,1.311,Not Available
58,ORYX,301,1.309,Not Available
59,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1870,1.297,Not Available
60,SYSTEMATIC ENTOMOLOGY,381,1.279,Not Available
61,TAXON,1111,1.259,Not Available
62,AUSTRALIAN SYSTEMATIC BOTANY,522,1.237,Not Available
63,BIOTROPICA,2417,1.225,Not Available
64,ECOLOGICAL ECONOMICS,946,1.204,Not Available
65,JOURNAL OF TROPICAL ECOLOGY,1129,1.186,Not Available
66,ECOLOGICAL MODELLING,2539,1.182,Not Available
67,ECOSCIENCE,693,1.181,Not Available
68,WETLANDS,798,1.137,Not Available
69,POLAR BIOLOGY,1825,1.133,Not Available
70,RESEARCHES ON POPULATION ECOLOGY,497,1.088,Not Available
71,SARSIA,726,1.086,Not Available
72,PLANT ECOLOGY,882,1.059,Not Available
73,RESTORATION ECOLOGY,582,1.011,Not Available
74,ADVANCES IN MICROBIAL ECOLOGY,439,1,Not Available
75,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,734,0.979,Not Available
75,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,166,0.979,Not Available
77,WILDLIFE RESEARCH,736,0.921,Not Available
78,ECOSYSTEM HEALTH,147,0.9,Not Available
79,ECOTOXICOLOGY,331,0.882,Not Available
80,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,311,0.823,Not Available
81,ENVIRONMENTAL BIOLOGY OF FISHES,2327,0.817,Not Available
82,NATURAL AREAS JOURNAL,391,0.778,Not Available
83,NORTHWEST SCIENCE,656,0.75,Not Available
84,EVOLUTIONARY ECOLOGY,1628,0.733,Not Available
85,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,1211,0.729,Not Available
86,EVOLUTIONARY BIOLOGY,727,0.706,Not Available
87,JOURNAL OF SOIL AND WATER CONSERVATION,1055,0.705,Not Available
88,ECOLOGICAL RESEARCH,368,0.697,Not Available
89,AUSTRAL ECOLOGY,73,0.658,Not Available
90,JOURNAL OF ARID ENVIRONMENTS,1105,0.64,Not Available
91,JOURNAL OF NATURAL HISTORY,1013,0.619,Not Available
92,WILDLIFE SOCIETY BULLETIN,1590,0.617,Not Available
93,PEDOBIOLOGIA,1112,0.605,Not Available
94,WILDLIFE BIOLOGY,131,0.603,Not Available
95,ECOLOGICAL ENGINEERING,357,0.601,Not Available
96,JOURNAL OF RANGE MANAGEMENT,1953,0.593,Not Available
97,DODO,45,0.568,Not Available
98,REVISTA CHILENA DE HISTORIA NATURAL,408,0.5,Not Available
99,AMERICAN MIDLAND NATURALIST,2477,0.494,Not Available
100,GREAT BASIN NATURALIST,481,0.491,Not Available
101,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,207,0.479,Not Available
102,LANDSCAPE AND URBAN PLANNING,500,0.477,Not Available
103,VIE ET MILIEU-LIFE AND ENVIRONMENT,388,0.466,Not Available
104,POPULATION ECOLOGY,23,0.452,Not Available
105,AFRICAN JOURNAL OF ECOLOGY,439,0.37,Not Available
106,COMPOST SCIENCE & UTILIZATION,215,0.353,Not Available
107,CANADIAN FIELD-NATURALIST,766,0.345,Not Available
108,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,94,0.339,Not Available
109,INSECT SYSTEMATICS & EVOLUTION,14,0.333,Not Available
110,EUROPEAN JOURNAL OF SOIL BIOLOGY,166,0.317,Not Available
111,WESTERN NORTH AMERICAN NATURALIST,26,0.312,Not Available
112,REVUE D ECOLOGIE-LA TERRE ET LA VIE,322,0.275,Not Available
113,RANGELAND JOURNAL,77,0.25,Not Available
114,SOUTHWESTERN NATURALIST,676,0.238,Not Available
115,AMAZONIANA-LIMNOLOGIA ET OECOLOGIA REGIONALIS SYSTEMAE FLUMINIS AMAZONAS,153,0.235,Not Available
116,JOURNAL OF FRESHWATER ECOLOGY,322,0.216,Not Available
117,PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,476,0.208,Not Available
118,EKOLOGIA-BRATISLAVA,116,0.192,Not Available
119,RUSSIAN JOURNAL OF ECOLOGY,179,0.137,Not Available
120,NATURAL HISTORY,339,0.11,Not Available
121,BIOCYCLE,268,0.062,Not Available
122,ORGANISMS DIVERSITY & EVOLUTION,6,Not Available,Not Available
Copyright © 2017 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
